film_id,genre,director_name,title,length,rating
69,romance,James Freeman,Interview pay lot billion.,0.9,54.87
70,scifi,Amanda Morgan,Value go under fund help.,0.87,54.66
71,comedy,Raven Baxter,Production sport board his kitchen.,1.64,48.22
72,romance,Kenneth Cooper,Talk talk of up.,0.33,54.16
73,documentary,Joseph Vargas,Into campaign just front level.,0.91,40.01
74,documentary,Christopher Lewis,Yes training everybody loss.,0.9,51.97
75,documentary,Shawn Stanley,Every cell exactly outside agent may.,0.63,47.00
76,scifi,Erin Garner,Meet moment hand analysis lose dark party.,1.84,64.25
77,documentary,Susan Davis,One grow hold quality note.,0.46,37.71
78,romance,Mary Robles,Mind four friend special reality.,2.11,49.72
79,comedy,Jason Cooke,Why customer drug agency.,1.21,37.35
80,comedy,Lisa Castillo,Factor gas but field fish until have.,2.91,58.92
81,romance,Dr. Adam Glover,Member he us next hospital.,1.46,56.60
82,documentary,Gina Davidson,Create of direction chance service them.,1.79,38.95
83,documentary,Robert Hall,Nor bill about wide either Mr leader.,1.62,42.64
84,scifi,Amber Schultz,Thousand region big anything.,0.69,40.07
85,comedy,Anthony Gilbert,Door early real move enter.,2.68,43.20
86,comedy,Jennifer Patel,Action charge action test gas.,1.27,59.13
87,comedy,Alexander Cortez,Bank number yard rock participant senior local.,1.53,64.07
88,scifi,Amanda Wilson,Most cell within.,0.63,50.83
89,scifi,Phyllis Wright,Reflect among car scene.,2.73,57.45
90,documentary,Jesse Hayes,Challenge describe whom bag.,1.47,65.27
91,scifi,Logan Cantu,Republican plant site child until chance phone.,2.69,46.42
92,comedy,Micheal Smith,Bar white describe.,1.74,34.95
93,comedy,Christina Gregory,Age hit open.,3.17,43.66
94,scifi,Jeffrey Morales,Poor plan test woman face.,0.9,48.54
95,scifi,Krista Colon,Check tough deep computer.,1.84,45.65
96,romance,Cassidy Nunez,Fish at pull medical ability.,0.47,47.49
97,documentary,Richard Flores,Heart left what road agree.,3.05,55.58
98,comedy,Charles Newton,Production month vote list.,1.56,49.75
99,comedy,Deanna Brown,Skin everyone stop defense must international.,1.49,49.79
100,scifi,Michele Simmons,Agency despite leave field situation.,1.41,48.14
101,comedy,Sarah Buckley,Image too various century hospital play military.,0.88,45.46
102,documentary,Leon Mccormick,Democrat hand yes his try dark.,1.71,39.33
103,documentary,Laura Garcia,Account deal save create discussion perform.,1.29,55.08
104,romance,Casey Carson,Organization issue town there.,0.69,61.32
105,comedy,Danny Rodriguez,Wife age write direction field.,2.56,61.16
106,romance,Heather Guerrero,What treatment culture trial challenge make.,2.67,48.48
107,scifi,Monica Garcia,Place table become third also.,1.71,52.67
108,comedy,Kimberly Griffith,Charge all thus thing ready major stay.,0.35,47.70
109,comedy,Pamela Morris,Let recently mind such year.,0.36,42.90
110,scifi,Kathryn Hodge,History decide bar region building allow be guy.,1.52,49.94
111,romance,Robert Hurley,Image I treatment help.,2.27,51.42
112,documentary,Todd Farley,Of return me win others million husband time.,3.11,48.09
113,scifi,David Morrison,Eight concern author expert.,3.03,23.54
114,documentary,Karen Bryan,Both new actually.,0.51,52.52
115,scifi,Larry Roy,Off us later decision understand practice.,2.24,48.84
116,documentary,Thomas Mccoy,Take care avoid change senior.,1.28,54.10
117,scifi,Jenna Maldonado,Public court magazine building network success night.,1.56,69.69
118,romance,Lisa Williams,Customer tonight southern that many hit.,1.18,38.45
119,romance,James Phillips,Similar admit bill inside.,2.92,51.14
120,romance,Emily Anderson,Election own factor money.,2.1,51.05
121,comedy,Marissa Moreno,Floor involve choose series factor.,2.44,44.38
122,romance,Daniel Smith,Control business south so.,0.78,32.81
123,comedy,William Black,Seat than actually single reach process.,0.39,30.51
124,documentary,Scott Padilla,Source order no until any not from month.,1.57,70.96
125,documentary,Tony Moore,Town garden center our until compare loss it.,1.64,60.21
126,romance,John Herrera,Road he evening edge focus season other.,1.63,63.05
127,documentary,Bryce Hays,Fall federal hard theory time.,2.93,26.45
128,scifi,Stephen Phillips,Another career several free down gun member.,2.09,43.92
129,romance,Kathleen Miles,Only accept then serve into forget actually.,1.12,57.29
130,comedy,Jason Holloway,Language blood wait put half American.,1.05,53.08
131,scifi,Jesse Stone,Candidate whose item major.,2.46,38.38
132,romance,Jennifer Weiss,Big change position wide carry season.,1.19,64.98
133,scifi,Glenn Russo,Box performance ready paper smile stop.,0.55,47.40
134,romance,Claudia Fisher,Pretty month fill become.,0.34,41.79
135,documentary,Christine Anderson,Trade consumer miss mission close catch quality.,1.6,40.45
136,romance,Brittney Lee,Night TV attention worker.,1.79,42.85
137,documentary,Diana Blair,Believe doctor they fish.,1.03,67.11
138,romance,Amber Campbell PhD,Race catch young law relate could.,0.96,35.51
139,documentary,Linda Hanson,Bring color ability within few throughout white throughout.,1.54,40.97
140,romance,Cathy Page,Side final leader front visit kitchen speech them.,3.06,55.22
141,comedy,Benjamin Mason,Charge indicate several dog.,0.73,59.36
142,comedy,Kevin Quinn,Whether for candidate mention bring night for.,2.22,55.44
143,documentary,Adrian Hawkins,Stage morning ok.,1.82,61.05
144,comedy,Charles Foster,Choose own eight history approach small.,2.33,37.55
145,romance,Emily Bowers,Add rest minute hair.,2.62,52.05
146,documentary,Kristen Watson,Conference special realize.,2.2,37.93
147,documentary,Jeffrey Austin,All fish really fly whatever attorney media.,0.98,58.84
148,scifi,Kyle Thomas,Sell morning life article.,1.03,52.91
149,documentary,Noah Mcgee,Wait central watch send themselves.,0.44,39.42
150,documentary,Brett White,Speech baby draw yeah also your.,0.31,64.28
151,romance,Michael Fisher,For special decade relate.,1.78,44.55
152,comedy,Linda Bradley,Star movement information actually resource establish.,3.17,58.34
153,comedy,Christie Acosta,Mind rate top who area agree theory.,1.82,45.52
154,scifi,Thomas Hubbard,Drive position spring bank region usually tend.,2.41,46.26
155,romance,Stephen Clark,Goal development player away enough prove sense.,0.29,57.88
156,comedy,Angela Davis,Worry computer read evidence its.,2.48,41.61
157,documentary,Audrey Flores,Dinner religious see election their.,0.94,51.33
158,scifi,Scott Allen,Near edge success parent hundred organization piece.,2.5,44.80
159,documentary,Christopher Decker,Education stop because society worry describe.,2.39,45.38
160,romance,Benjamin Banks MD,Civil that book purpose.,0.23,66.53
161,documentary,Amy Wallace,Leg model with bill mother.,0.84,47.22
162,documentary,Mr. Charles Morgan,Skill organization design white me very.,3.14,39.69
163,comedy,Breanna Clarke,Financial radio offer culture.,0.92,41.99
164,romance,Shannon Bryant,Lead nice someone party treat area.,0.38,50.19
165,comedy,Nancy Harrison,Officer already accept.,1.98,42.80
166,scifi,Stephen Lynch,Head hand similar item which agency message.,1.36,73.22
167,romance,Amy Montgomery,Medical her full dark.,3.08,55.73
168,romance,Holly Durham,Quickly modern begin authority.,2.72,46.43
169,comedy,Kimberly Ward,West store sister whether.,2.48,37.90
170,comedy,Nicholas West,Late his fish property new effort debate.,2.66,37.92
171,scifi,Louis Villegas,Million break chair business.,2.69,59.51
172,romance,Jacqueline Mendoza,Yet try case example.,3.18,60.58
173,documentary,Jessica Collins,Almost assume seem operation skill.,2.38,51.85
174,scifi,Christopher Moore,Friend wall chair seven behavior.,0.52,73.67
175,documentary,Heather Walters,Else short song energy.,3.08,58.71
176,comedy,David Christian,Morning this coach possible spend environmental.,1.66,67.39
177,scifi,Patty Barajas,Present hear most Democrat notice old get.,0.72,44.44
178,comedy,Jessica Warner,Film head style see.,0.4,48.82
179,scifi,Jessica Norris,Officer claim them will left bit.,1.28,53.30
180,comedy,Christina Wilson,Order group wall oil.,1.26,48.95
181,comedy,Tyler Harris,Discover beat day seem low.,2.24,45.44
182,documentary,Travis Brown,Make rule cut.,1.79,67.73
183,documentary,John Le,He always thank example.,3.05,44.78
184,comedy,Patricia Mcdonald,Together our television everybody more scene shoulder.,1.99,38.57
185,scifi,Hector Holmes,Marriage will certainly theory.,2.31,54.58
186,documentary,Valerie Collins,Teach point really challenge.,2.75,44.83
187,comedy,Joseph Fields,Call four write.,2.02,52.03
188,scifi,Cindy Bowman,Minute arrive pretty ever must environmental.,2.9,44.80
189,comedy,Ashley Weeks,Represent firm page build wait matter that.,2.16,61.73
190,scifi,Catherine Fox,May arm surface even listen yes.,1.58,53.43
191,romance,Angela Montoya,Kind key modern beyond management could population.,1.8,41.64
192,comedy,Sarah Moore,Vote road bag each red.,0.4,38.62
193,comedy,Scott Shaffer,Rather their evidence foot book someone by.,2.14,35.38
194,documentary,Kimberly Meyers,Source article assume add down.,1.83,52.31
195,romance,Alec Brown,Road material billion outside he research.,2.23,48.17
196,scifi,Marc Parker,International weight writer.,2.71,40.77
197,comedy,Brian Hicks,Degree same go case.,2.05,56.48
198,comedy,Kelly Campbell,Surface animal show respond.,1.4,56.19
199,comedy,Kristen Washington,Camera owner personal nation teacher store item federal.,3.07,45.44
200,documentary,Brian Moran,Argue consider turn citizen.,3.07,39.49
201,comedy,John Norris,House production little interesting evening to.,2.61,66.45
202,scifi,Nancy Scott,Because stage table never.,2.87,59.03
203,comedy,Leslie Fisher,Drive where tell language he record medical may.,1.71,40.00
204,romance,Jason Shaw,Everyone week live son more hope concern expert.,2.31,60.86
205,romance,Jonathan Contreras,Child door top special quite.,0.44,60.30
206,scifi,Beverly Gardner,See model condition election nation simple economic.,0.39,43.55
207,romance,Alex Flores,Government western according after increase why mean.,1.37,54.27
208,comedy,Scott Stewart,Coach line page dog let.,1.26,39.60
209,romance,Sheena Wilson,Suddenly peace else important.,3.07,55.62
210,scifi,Jeremiah Olson,Material site own few tend majority ahead.,2.29,53.78
211,romance,Natalie Wright,Nearly will west size yes.,2.64,32.60
212,scifi,Timothy Lopez,Become capital all whatever among I.,1.15,57.08
213,documentary,Samantha Wiley,Police international to simple effect either surface.,0.61,40.13
214,documentary,Mark Williams,Speak training own consider him human make.,3.07,56.80
215,scifi,Margaret Craig,Place another project miss.,2.62,58.97
216,comedy,Derek Banks,Magazine owner current yeah whose.,1.7,50.13
217,comedy,Michael Jones,Must read international billion south reason.,0.6,74.91
218,documentary,Kelly Davis,Successful once cold like goal include.,1.88,55.23
219,documentary,Darren Wong,Nothing stay arrive method stock cup his.,2.06,46.44
220,comedy,Frank Peterson,Third form culture speak consumer happen.,1.98,42.43
221,documentary,Matthew Mcbride,Personal control same main.,1.73,47.84
222,romance,Kelly Adams,Hundred study place see citizen list finish contain.,1.88,49.88
223,scifi,Michael Horton,Evidence radio have ago deep.,2.52,55.38
224,documentary,Kathryn Walker,Apply and pretty bank foot.,2.68,45.57
225,romance,Stephanie Vincent,Summer my number knowledge third interest.,3.15,60.21
226,scifi,Russell Johnson,Discover ok guess watch high.,2.78,43.43
227,scifi,Sean Sullivan,Dog leave according decision.,0.38,47.07
228,romance,Steven Sherman,Garden gun positive.,3.16,55.07
229,romance,James Garcia,Accept word stock outside foot.,1.66,53.22
230,documentary,Andrew Bell,Necessary let population bar.,0.54,44.66
231,romance,David Collins,Coach society place own this the clearly should.,0.36,60.21
232,scifi,Tracy Patel,Everybody head economic before smile building.,1.78,48.81
233,romance,Rebecca Dillon,Form size draw while.,2.3,56.79
234,comedy,Valerie Jacobs,It later manager learn American every themselves.,2.4,37.73
235,scifi,Kimberly Gibson,Field place show visit.,2.35,54.70
236,comedy,Matthew Hill,Today sell civil spend onto.,2.79,41.76
237,comedy,Barry Krueger,Station among family think position.,1.76,45.90
238,romance,Amy Cabrera,Enter physical memory.,1.21,65.24
239,scifi,Rebecca Turner,Sit particular indeed to professor good.,2.79,52.99
240,documentary,Maria Burton,Once right civil under material building.,1.83,69.21
241,romance,Alexander Thompson,Into special forward interest itself.,2.95,49.99
242,romance,April Larson,Goal expect film draw visit science.,1.74,56.75
243,documentary,Angel Best,Yeah country gas western world throughout weight.,1.71,48.77
244,romance,Dr. Julia Moore,Surface meet cultural discover capital including.,1.78,47.82
245,scifi,Brandy Lee,East half yet argue.,1.71,43.91
246,comedy,Jeremy Williams,Story enough after when.,3.04,64.48
247,scifi,Todd Ruiz,Eight cover behavior.,0.53,48.12
248,scifi,Lisa Watkins,Decide manage two edge another political identify.,2.54,61.20
249,comedy,Michael Harris,Reality continue really others paper.,2.98,50.71
250,scifi,Harry Hodges,Difference challenge decide thought least turn employee.,1.16,57.23
251,documentary,Lynn Rodriguez,Suffer number north pattern.,2.6,47.93
252,comedy,Linda Munoz,Continue imagine letter ball interest scientist American of.,1.07,62.25
253,scifi,Denise Salazar,Sell like statement ten.,2.1,63.20
254,documentary,Anna Barry,Discuss behind last suggest special fine.,2.76,69.50
255,comedy,Dale Wiggins,Organization although against three author enjoy try officer.,1.59,51.93
256,comedy,Pedro Ballard,Inside only approach drive.,2.43,55.61
257,documentary,Valerie Dyer,Establish say hospital move mission list term listen.,3.19,39.60
258,romance,Dustin Romero,Record write fast.,2.76,40.38
259,comedy,Paul Brown,Your month board site.,1.49,38.26
260,comedy,John Campbell,North similar throw draw bed charge speak.,2,45.46
261,romance,James Holden,Attack about challenge response.,0.64,50.92
262,documentary,Christina Lin,Believe current program human bill person.,1.67,55.72
263,documentary,Justin Lopez,Although east where agreement lot possible serious support.,1.96,53.70
264,scifi,Antonio Duran,Design there more inside one.,0.59,48.80
265,romance,Pamela Johnson,Bit production film general security.,1.66,58.69
266,romance,Christopher Nelson,Drug voice born month great consider.,3,67.47
267,scifi,Jacob Mann,Apply their may we.,1.69,47.81
268,comedy,Ian Morris,Learn six hold decision lose deal continue.,0.34,58.90
269,documentary,Nicole Moore,Want nature buy pull discover education.,2.9,59.90
270,comedy,William Reynolds,Lay voice program adult.,0.46,41.46
271,scifi,Bruce Callahan,Party free season those certainly outside.,1.39,58.40
272,documentary,Shannon Greer,Family feel training same relate clearly Republican.,0.41,51.11
273,romance,Sally Perez,Responsibility travel type black remember read.,2.33,69.29
274,scifi,Lori Reeves,Information job scene west upon education.,2.07,51.71
275,romance,Lisa Diaz,Notice attorney whose pick young.,1.63,50.49
276,scifi,Lydia Gallegos,Picture trade because great prove.,2.25,57.04
277,romance,Kenneth Lopez,Hotel also set action participant.,3.14,33.32
278,comedy,Erin Weaver,Institution half seem TV painting cover.,2.1,69.01
279,romance,Victoria Pollard,Big something drive bad condition term.,2.77,18.34
280,scifi,Mary Pineda,Himself visit huge behind.,2.45,45.03
281,comedy,Andrea Gutierrez,Store practice contain cup rock.,3.13,51.73
282,romance,Bruce Rice,Leave community itself sort simply speech most.,2.51,42.99
283,comedy,Brooke Boyer,Value high consumer modern assume image.,1.92,49.66
284,scifi,Lindsay Hunt,Heart everybody nation language trade onto performance.,0.43,47.29
285,comedy,Ronnie Evans,Ten talk detail these edge sell sister.,1.21,59.06
286,documentary,Colleen Foley,Account mouth probably fish investment program.,1.01,63.67
287,documentary,Christy Jackson,Which bring chance movement magazine.,1.29,51.48
288,scifi,Amy Powers,Surface foot wrong difference respond.,1.77,51.90
289,scifi,Heather Wilson,Century expert case sound imagine field.,2.14,66.42
290,scifi,David Jackson,Study attack smile the.,2.82,48.01
291,scifi,Michael Terry,Reveal arm someone positive.,0.22,43.19
292,romance,Lisa Moss,General draw bank one position continue.,2.12,64.39
293,scifi,Travis Reese,Necessary know customer task down.,1.67,48.63
294,documentary,Steven Lopez,Listen around kind first.,3.06,51.35
295,comedy,Caitlyn Martin,Mention stop trouble impact.,2.65,56.07
296,scifi,Phillip Cortez,Stay building either reason run his.,1.01,57.29
297,documentary,Mary Griffin,Rather though age magazine expert best top system.,1.88,58.36
298,scifi,Mary Mitchell,Begin employee audience born increase.,2.03,40.25
299,scifi,Linda Valencia,Call law life evening catch.,2.29,43.18
300,documentary,Kyle Collins,Data government himself station task effort road.,2.1,55.54
301,comedy,Wesley Gibson,Agent bit successful cold nature.,1.04,50.48
302,scifi,Anthony Wilson,Report as loss.,1.39,31.01
303,documentary,Nathan Christensen,Official four customer near certainly.,1.89,61.41
304,documentary,Mark Larson,Understand can PM relate girl do.,1.75,43.51
305,romance,Kathleen Morrison,Man off thousand cost hair attorney quickly.,1.86,47.74
306,romance,Mr. Vincent Gardner,Even grow leader.,0.89,37.66
307,comedy,Regina Flores,More beyond speak education single body anyone.,2.71,59.16
308,documentary,Timothy Peterson,See away available thank act matter left.,0.98,54.13
309,romance,Judy Burke,Eat budget do door people security magazine speech.,0.68,49.69
310,comedy,Heather Sims,Military must occur answer set.,1.22,45.80
311,documentary,Lisa Simmons,Our provide quite.,0.77,53.11
312,documentary,Jasmine Bennett,Fish campaign across me store indicate.,1.28,55.76
313,documentary,Emily Duran,Meet administration go college special condition everybody leave.,2.43,44.09
314,documentary,Katie Franklin,Send everything citizen executive view plan.,2.5,63.14
315,documentary,Cassidy King,Story audience leave fire.,0.52,65.78
316,scifi,Allison Adams,Yet college today these.,0.49,44.93
317,comedy,Laurie Bailey MD,Between size knowledge movie.,3.19,38.68
318,documentary,Steven Perkins,Season history treatment dark manager smile parent.,1.7,49.95
319,romance,Nichole Hill,Hand perform protect establish return.,1.55,67.99
320,comedy,Christine Davis,Success tonight thousand possible the.,2.14,27.56
321,comedy,Jesse Heath,Several court boy red.,1.78,43.41
322,documentary,Natalie Cox,Amount ball three next enjoy treatment thing occur.,2.78,49.06
323,comedy,Thomas Cross,Catch drive station consumer.,0.5,41.24
324,comedy,Anita Powell,They later interest pattern race.,0.98,54.58
325,comedy,Lisa Tran,Scene exist pull structure I eat.,0.35,60.98
326,documentary,Maria Wong,Support for stand car.,2.73,47.34
327,romance,Philip Moon,Tend same require only sport.,3.03,66.53
328,scifi,Scott Rogers,Audience ability east catch seven.,3.1,45.00
329,comedy,Anthony Boyd,Staff student main now reach material.,1.63,54.38
330,scifi,Nicholas Mullins,Short establish draw today.,0.95,40.99
331,documentary,Pamela Eaton,Woman subject again history deep fear technology actually.,2.26,45.49
332,scifi,Anthony Rodriguez,Too half week today born former possible.,0.54,48.64
333,scifi,Donna Smith,View them beautiful loss go rule.,0.33,41.38
334,scifi,Robert Singleton,Find military call sell quickly character anyone.,1.12,47.22
335,comedy,Ms. Sherri Drake DDS,Environmental consumer resource lose beyond family better.,0.75,54.72
336,romance,Christopher Murphy,Think purpose vote source according cup full.,2.63,48.46
337,comedy,Melanie Hubbard,Find tell put term race.,2.34,40.40
338,documentary,Lynn Howell,Five lose son herself individual.,2.25,49.82
339,scifi,Kristina Rowe,Wear just stage he partner rather accept.,1.27,56.39
340,romance,Jennifer Hernandez,Pressure new key herself already thought second science.,0.99,48.82
341,romance,Sheila Zimmerman,Turn song debate election program now.,2.57,42.34
342,romance,Rachel Davis,Real majority story range will behind.,2.4,43.86
343,comedy,Amanda Buck,Story wall decision community.,2.46,47.40
344,documentary,Robert Mitchell,Station person fast finish situation.,0.36,44.69
345,comedy,Katie Garcia,Morning voice try than tree trouble.,1.58,59.24
346,romance,Loretta Edwards,Price sister stand turn.,3.01,58.58
347,comedy,Jennifer Owens,Feel husband kitchen medical small song.,0.33,40.23
348,documentary,William Callahan,Rise raise various.,2.75,43.98
349,documentary,Deanna Brooks,National bar speak expect paper.,0.42,58.57
350,scifi,Travis Powell,Pm lot research.,1.8,37.23
351,documentary,James White,Individual senior marriage art also remain.,0.6,45.46
352,romance,Micheal Cunningham,Property day window whom information.,2.19,58.17
353,documentary,Alison Nguyen,Those up leave star the bit.,3.05,47.38
354,comedy,John Strong,Food responsibility wife others.,0.44,76.00
355,romance,John Peterson,Media smile help response short stay popular.,0.66,45.37
356,documentary,Robert Church,Book strong nearly country but.,0.22,52.67
357,romance,Brandon Pacheco,Worker son other piece similar theory next.,1.64,33.80
358,scifi,Brian Simpson,Large happen despite.,1.83,77.56
359,romance,John Williams,Born allow area major try take would.,2.56,37.79
360,documentary,Michael Murphy,Radio single without college success.,3,46.82
361,scifi,Andrea Ramirez,Hour indicate book not north record.,0.26,45.56
362,romance,Kathleen Peterson,Me oil have.,3.19,61.55
363,documentary,Paul Parker,Book better no so.,2.16,44.04
364,romance,Susan Green,Police sometimes with day guess can wall.,0.21,58.79
365,scifi,Crystal Berger,Few bad at.,1.32,42.86
366,romance,Adrian Palmer,Various establish room page improve forget program.,0.64,41.82
367,comedy,Brenda Mullins,Smile discussion lose management rule foreign start.,2.95,61.50
368,scifi,Shawn Bell,Standard serve finally pick central star.,1.34,45.65
369,romance,Devin Smith,Along institution you happen.,2.31,43.90
370,documentary,James Vazquez,Plant worker take land in by admit.,2.35,44.74
371,romance,David Williams,Policy red for ask.,0.66,57.04
372,scifi,Christopher Salinas,Conference hold campaign these.,2.86,37.70
373,scifi,Brent Roberts,Look deep try point year.,1.53,53.15
374,documentary,Jennifer Sanchez,Gas direction six during series affect.,3.1,55.38
375,scifi,Jason Smith,Indicate major although worry check letter fund.,0.98,53.55
376,documentary,Kathleen Stewart,Improve above government president.,1.78,61.18
377,romance,Benjamin Williams,Drug ability behavior radio.,1.07,35.77
378,documentary,Rebecca Stephens,Purpose hundred fall crime better back step.,3.09,51.00
379,scifi,Erica Holmes,Evening always significant management in hour.,3.03,32.58
380,romance,Matthew Lamb,Represent put sure future less maintain see.,2.03,64.62
381,documentary,Joseph Davis,Discussion require son best.,0.34,50.95
382,romance,Mrs. Elizabeth Garcia,Way enough method PM kitchen continue security.,2.43,40.95
383,documentary,Erica Briggs,Level group role seven scene responsibility.,2.92,46.03
384,scifi,Paul Martin,Test people marriage loss opportunity.,2.07,42.73
385,romance,Andrew Santiago MD,Strong character risk indicate road.,0.35,44.80
386,comedy,Mr. Donald James,Teacher race hit before phone peace.,1.1,65.06
387,scifi,Douglas Tran,Nature improve already per event.,2.85,58.72
388,romance,Lori Lopez,Hard church above politics economic analysis.,2.2,55.27
389,scifi,Justin Deleon,Describe school bank degree.,1.18,50.19
390,documentary,Alexander Garza,Wish young history approach piece near know thousand.,1.95,47.61
391,comedy,Kimberly Kerr,Provide official finish region large.,1.33,40.83
392,scifi,Anne Vazquez,Individual simply less more.,0.6,46.50
393,comedy,Samantha Lamb,Share way treat certain interest kitchen.,1.74,56.67
394,scifi,Jacob Boyd,Mean offer work community.,2.26,63.02
395,scifi,Krystal Martin,Trial new major staff chance.,1.45,55.46
396,romance,Janet Ramos,Property type relate.,0.94,52.03
397,scifi,Emma Jones,Performance that expect city report.,2.89,67.31
398,romance,Jennifer Nguyen,Finish itself medical health art instead nor.,2.87,63.55
399,scifi,Julie Huff,Kid attorney interview brother realize southern.,2.19,33.95
400,romance,Jessica Banks,Specific college seem such among general eye north.,1.98,50.00
401,comedy,Bill Martinez,Understand hospital exactly always.,1.57,36.12
402,comedy,Sarah Martinez,Boy value ready talk suggest.,1.85,38.12
403,documentary,Kayla Lowe,Role meet though tell success.,3.13,40.05
404,scifi,Mary Klein,Could manager court hot never read church.,1.95,30.58
405,comedy,Gavin Charles,Issue side area.,2.97,66.82
406,scifi,Amy Garcia,Ball and risk believe final identify room.,0.3,66.99
407,documentary,Richard Garcia,Degree alone laugh wear.,2.07,45.29
408,romance,Madeline Taylor,Time recognize teacher why along happen member.,0.37,29.51
409,documentary,Joseph Love,On six this lead forward system how.,0.23,32.42
410,romance,James Jordan,Economic question offer.,2.6,43.76
411,scifi,Amanda Johnson,American claim great paper can.,2.72,54.73
